Date,Open,High,Low,Close,Volume,Adj Close
2015-10-01,21.50,21.85,21.32,21.71,10183800,20.7366
2015-09-30,21.75,21.78,20.90,21.42,17009600,20.4596
2015-09-29,21.17,21.61,20.96,21.01,12653100,20.068
2015-09-28,21.37,21.48,20.87,21.14,11922200,20.1921
2015-09-25,22.47,22.63,21.51,21.68,9910300,20.7079
2015-09-24,21.27,22.38,20.85,22.19,15912900,21.1951
2015-09-23,22.65,22.96,21.93,21.93,12144000,20.9467
2015-09-22,22.31,22.92,21.89,22.70,14276100,21.6822
2015-09-21,23.24,23.49,22.42,22.61,12916800,21.5962
2015-09-18,24.35,24.46,23.13,23.33,19057100,22.2839
2015-09-17,24.50,25.27,24.30,24.67,13436600,23.5639
2015-09-16,24.01,24.75,24.01,24.74,13254700,23.6307
2015-09-15,23.36,24.02,23.28,23.85,10867800,22.7806
2015-09-14,22.46,23.50,22.30,23.40,11527100,22.3508
2015-09-11,22.53,22.64,22.29,22.40,9627600,21.3956
2015-09-10,22.49,23.08,22.17,22.65,14949600,21.6344
2015-09-09,23.12,23.75,23.10,23.15,15084400,22.112
2015-09-08,23.03,23.03,22.70,22.88,10436100,21.8541
2015-09-07,22.36,22.36,22.36,22.36,000,21.3574
2015-09-04,22.72,23.04,22.36,22.36,12861600,21.3574
2015-09-03,22.98,23.35,22.38,23.35,16120400,22.303
2015-09-02,22.61,22.84,22.21,22.78,11539900,21.7586
2015-09-01,22.30,22.74,22.20,22.39,15186900,21.368
2015-08-31,23.18,23.36,22.86,23.05,22331000,21.9978
2015-08-28,24.22,24.84,23.79,24.03,13702600,22.9331
2015-08-27,24.40,25.05,24.12,24.67,16726800,23.5439
2015-08-26,23.15,24.09,22.78,24.08,19834600,22.9808
2015-08-25,23.54,23.67,22.76,22.95,14953700,21.9024
2015-08-24,22.15,23.39,21.75,22.87,19052900,21.8261
2015-08-21,23.19,23.59,22.90,23.28,16022000,22.2173
2015-08-20,23.35,23.59,23.08,23.41,13038000,22.3414
2015-08-19,23.84,23.87,23.20,23.60,12085100,22.5227
2015-08-18,23.70,24.79,23.34,24.26,18414500,23.1526
2015-08-17,24.06,24.46,23.81,23.81,5456700,22.7231
2015-08-14,24.32,24.64,24.07,24.21,11304100,23.1049
2015-08-13,24.81,24.89,24.22,24.38,10959000,23.2671
2015-08-12,25.20,25.28,24.70,24.75,14494900,23.6202
2015-08-11,25.70,25.77,25.12,25.57,8129700,24.4028
2015-08-10,25.49,25.75,25.37,25.58,5631000,24.4123
2015-08-07,25.71,26.08,25.16,25.28,10226500,24.126
2015-08-06,25.65,26.35,25.52,26.00,7709000,24.8132
2015-08-05,26.20,26.41,25.60,25.95,9434200,24.7655
2015-08-04,26.43,26.48,25.80,26.03,11667600,24.8418
2015-08-03,26.54,26.69,26.10,26.43,16993100,25.2054
2015-07-31,27.09,27.56,27.02,27.28,7233600,26.0161
